ds,y
2023-06-15,5541
2023-06-16,5504
2023-06-17,5148
2023-06-18,5353
2023-06-19,5364
2023-06-20,5371
2023-06-21,5147
2023-06-22,5041
2023-06-23,5441
2023-06-24,4568
2023-06-25,4623
2023-06-26,5355
2023-06-27,5986
2023-06-28,6122
2023-06-29,7128
2023-06-30,4533
2023-07-01,3654
2023-07-02,3801
2023-07-03,4962
2023-07-04,6482
2023-07-05,5901
2023-07-06,6881
2023-07-07,5168
2023-07-08,5538
2023-07-09,5273
2023-07-10,5853
2023-07-11,5862
2023-07-12,12928
2023-07-13,10267
2023-07-14,9033
2023-07-15,7449
2023-07-16,6517
2023-07-17,7969
2023-07-18,9044
2023-07-19,7380
2023-07-20,6974
2023-07-21,6277
2023-07-22,5890
2023-07-23,7721
2023-07-24,7428
2023-07-25,6805
2023-07-26,6656
2023-07-27,5896
2023-07-28,6151
2023-07-29,5837
2023-07-30,5171
2023-07-31,6627
2023-08-01,6803
2023-08-02,5304
2023-08-03,6845
2023-08-04,6637
2023-08-05,3386
2023-08-06,4707
2023-08-07,4570
2023-08-08,7378
2023-08-09,6842
2023-08-10,7337
2023-08-11,7318
2023-08-12,5882
2023-08-13,5421
2023-08-14,6516
2023-08-15,5584
2023-08-16,5492
2023-08-17,6159
2023-08-18,4631
2023-08-19,4769
2023-08-20,4583
2023-08-21,6897
2023-08-22,6092
2023-08-23,7586
2023-08-24,7121
2023-08-25,6847
2023-08-26,5046
2023-08-27,4936
2023-08-28,5653
2023-08-29,5838
2023-08-30,4948
2023-08-31,6010
2023-09-01,4727
2023-09-02,4393
2023-09-03,4919
2023-09-04,5602
2023-09-05,5663
2023-09-06,5617
2023-09-07,1019
2023-09-08,3496
2023-09-09,5042
2023-09-10,5538
2023-09-11,6016
2023-09-12,6403
2023-09-13,6258
2023-09-14,6425
2023-09-15,5883
2023-09-16,5021
2023-09-17,4801
2023-09-18,5023
2023-09-19,5411
2023-09-20,5935
2023-09-21,6326
2023-09-22,4993
2023-09-23,4800
2023-09-24,4750
2023-09-25,4804
2023-09-26,5483
2023-09-27,5301
2023-09-28,4184
2023-09-29,4501
2023-09-30,5747
2023-10-01,5200
2023-10-02,4107
2023-10-03,4602
2023-10-04,4868
2023-10-05,7067
2023-10-06,6105
2023-10-07,6964
2023-10-08,5518
2023-10-09,5419
2023-10-10,5641
2023-10-11,5898
2023-10-12,5756
2023-10-13,5557
2023-10-14,5872
2023-10-15,5649
2023-10-16,6116
2023-10-17,6768
2023-10-18,5926
2023-10-19,5469
2023-10-20,5694
2023-10-21,5660
2023-10-22,4793
2023-10-23,6170
2023-10-24,5099
2023-10-25,5433
2023-10-26,8478
2023-10-27,6664
2023-10-28,6252
2023-10-29,6368
2023-10-30,5870
2023-10-31,6734
2023-11-01,7115
2023-11-02,7331
2023-11-03,7210
2023-11-04,6643
2023-11-05,5641
2023-11-06,5383
2023-11-07,14533
2023-11-08,6289
2023-11-09,7427
2023-11-10,5716
2023-11-11,4948
2023-11-12,5013
2023-11-13,6917
2023-11-14,6449
2023-11-15,6026
2023-11-16,5868
2023-11-17,6455
2023-11-18,6920
2023-11-19,7639
2023-11-20,8452
2023-11-21,5879
2023-11-22,7545
2023-11-23,6913
2023-11-24,6300
2023-11-25,5005
2023-11-26,5557
2023-11-27,6365
2023-11-28,6644
2023-11-29,7033
2023-11-30,5693
2023-12-01,5989
2023-12-02,7338
2023-12-03,5570
2023-12-04,7382
2023-12-05,8451
2023-12-06,7538
2023-12-07,7097
2023-12-08,6557
2023-12-09,8548
2023-12-10,7863
2023-12-11,8644
2023-12-12,7388
2023-12-13,6973
2023-12-14,6081
2023-12-15,7910
2023-12-16,7716
2023-12-17,6926
2023-12-18,7508
2023-12-19,7638
2023-12-20,6700
2023-12-21,6684
2023-12-22,7499
2023-12-23,6518
2023-12-24,5971
2023-12-25,6087
2023-12-26,6261
2023-12-27,5753
2023-12-28,6340
2023-12-29,7069
2023-12-30,6475
2023-12-31,5342
2024-01-01,6144
2024-01-02,6255
2024-01-03,7782
2024-01-04,6934
2024-01-05,7028
2024-01-06,7059
2024-01-07,6613
2024-01-08,8965
2024-01-09,7797
2024-01-10,9924
2024-01-11,23665
2024-01-12,15910
2024-01-13,9466
2024-01-14,8133
2024-01-15,9400
2024-01-16,8835
2024-01-17,9248
2024-01-18,8906
2024-01-19,8498
2024-01-20,8145
2024-01-21,7479
2024-01-22,7600
2024-01-23,8548
2024-01-24,8616
2024-01-25,7779
2024-01-26,8747
2024-01-27,7026
2024-01-28,6492
2024-01-29,9249
2024-01-30,8300
2024-01-31,7869
2024-02-01,7595
2024-02-02,8568
2024-02-03,7747
2024-02-04,8607
2024-02-05,7670
2024-02-06,7000
2024-02-07,5697
2024-02-08,5368
2024-02-09,4500
2024-02-10,3625
2024-02-11,4424
2024-02-12,4630
2024-02-13,4467
2024-02-14,4935
2024-02-15,5708
2024-02-16,6782
2024-02-17,8984
2024-02-18,8899
2024-02-19,7476
2024-02-20,7324
2024-02-21,7518
2024-02-22,7761
2024-02-23,9421
2024-02-24,10152
2024-02-25,7079
2024-02-26,10927
2024-02-27,10432
2024-02-28,12023
2024-02-29,9144
2024-03-01,7161
2024-03-02,7138
2024-03-03,6137
2024-03-04,7525
2024-03-05,8090
2024-03-06,8125
2024-03-07,7947
2024-03-08,8827
2024-03-09,7111
2024-03-10,6620
2024-03-11,7233
2024-03-12,6837
2024-03-13,7764
2024-03-14,12656
2024-03-15,15278
2024-03-16,9827
2024-03-17,12164
2024-03-18,10272
2024-03-19,8929
2024-03-20,10875
2024-03-21,11191
2024-03-22,9187
2024-03-23,7747
2024-03-24,8663
2024-03-25,8346
2024-03-26,8894
2024-03-27,9139
2024-03-28,9146
2024-03-29,8749
2024-03-30,5591
2024-03-31,6593
2024-04-01,6737
2024-04-02,7177
2024-04-03,7822
2024-04-04,6590
2024-04-05,6534
2024-04-06,7043
2024-04-07,7158
2024-04-08,7419
2024-04-09,7148
2024-04-10,8627
2024-04-11,9705
2024-04-12,7938
2024-04-13,7379
2024-04-14,8544
2024-04-15,7280
2024-04-16,7897
2024-04-17,8460
2024-04-18,7015
